Master Category,Date,Description,Amount
Auto/Transportation,7/27/2004,Trail Town Chevchevron Lordsburg Nm 3319,0.84
Auto/Transportation,7/28/2004,Tetco Stores Lpchevron San Antonio Tx 3319,1.95
Food/Drink,7/28/2004,Ozona Subway Ozona Tx,8.26
,7/28/2004,Aramark Minute Maid Pa Houston Tx,11.50
,7/28/2004,Sports At The B U S Lt Houston Tx,12.00
Cash/ATM,7/28/2004,ATM Withdrawal - 07/28 00004C63 501 Crawford #1501 Crawfohouston Tx 3319,22.50
,7/28/2004,Travelodge Ozona Tx,55.00
Other Spending,7/29/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Auto/Transportation,7/29/2004,Shell Service S0095481958Baytown Tx 3319,3.23
Cash/ATM,7/29/2004,ATM Withdrawal - 07/29 P28394 500 Bourbon St.Chris Owennew Orleans La 3319,23.00
Other Spending,7/30/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,7/30/2004,Non-Wells Fargo ATM Transaction Fee,2.00
,7/30/2004,Howl At The Moon New Orleans La,9.00
Cash/ATM,7/30/2004,ATM Withdrawal - 07/30 Fc1L7056 Braves Stadium Braves Staatlanta Ga 3319,42.00
Food/Drink,7/31/2004,Ruby Tuesday #2686 College Park Ga,18.11
,7/31/2004,Courtyard By Marriott- Atlanta Ga,87.00
Auto/Transportation,8/1/2004,Union 76 00379982 Riverside Ca,15.73
Other Spending,8/2/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,8/2/2004,Bill Pay Service Fee On 08-01,6.95
Other Spending,8/3/2004,Overdraft Fee,33.00
Other Spending,8/3/2004,Overdraft Fee,33.00
Other Spending,8/3/2004,Overdraft Fee,33.00
Other Spending,8/4/2004,Overdraft Fee,33.00
Other Spending,8/5/2004,Continuous Od Level 2 Charge,5.00
Other Spending,8/6/2004,Continuous Od Level 2 Charge,5.00
Other Spending,8/9/2004,Continuous Od Level 2 Charge,5.00
Other Spending,8/10/2004,Continuous Od Level 2 Charge,5.00
Other Spending,8/11/2004,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1.00
Other Spending,8/11/2004,Monthly Service Fee,3.75
Other Spending,8/11/2004,Continuous Od Level 2 Charge,5.00
Other Spending,8/12/2004,Continuous Od Level 2 Charge,5.00
,8/27/2004,Easy Ad Photo Ad 805-543-9050 Ca,10.00
Bills/Utilities,8/27/2004,Charter Comm Chartercom 082604,53.18
Groceries,8/29/2004,Vons Store Vons Satascadero Ca 3319,3.29
Auto/Transportation,8/30/2004,Chevron 00092265 San Luis Obis Ca,27.49
Payments to Non-Wells Fargo Credit Cards,9/1/2004,Card Services 1 Payment 040831 Travis Lawrence 4791070400384499,"$2,400.00"
Other Spending,9/2/2004,Bill Pay Service Fee On 09-01,6.95
Payments to Non-Wells Fargo Credit Cards,9/2/2004,Wells Fargo Card Phone Pymt 040901 317 90418002018291,"$2,100.00"
Auto/Transportation,9/4/2004,Shell Oil 57441083201 Atascadero Ca,12.95
Auto/Transportation,9/6/2004,Chevron 00092060 Morgan Hill Ca,21.91
,9/8/2004,Bill Pay Wellspring Wirel On-Line 30037360 On 09-08,77.11
Auto/Transportation,9/9/2004,Chevron 00091928 Morro Bay Ca,27.42
Shopping,9/10/2004,Kmart Kmart Atascadero Ca 3319,32.14
,9/12/2004,Fmi-Angel Stadium Anaheim Ca,14.98
Auto/Transportation,9/12/2004,Chevron 00093042 Newport Beach Ca,29.93
Other Spending,9/13/2004,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,9/13/2004,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,9/13/2004,Monthly Service Fee,3.75
Other Spending,9/13/2004,Monthly Service Fee,3.75
Auto/Transportation,9/14/2004,Shell Oil 57441083201 Atascadero Ca,27.15
,9/17/2004,Atascadero Tesoatascaderoatascadero Ca 3319,15.42
,9/17/2004,Sou Staples #70Sou Staplepaso Robles Ca 3319,156.52
Auto/Transportation,9/18/2004,Shell Service Sshell Servatascadero Ca 3319,10.77
Other Spending,9/20/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,9/20/2004,ATM Withdrawal - 09/20 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Checks Written,9/20/2004,Check #319,106.50
Checks Written,9/20/2004,Check #320,137.00
Groceries,9/21/2004,Vons Store Vons Satascadero Ca 3319,10.57
,9/21/2004,Wmv*Match.Com 800-926-2824 Tx,50.85
,9/22/2004,Phone Banker Call 09/22,2.00
Food/Drink,9/23/2004,Taco De Mexico Taco De Mesan Luis Obisca 3319,9.12
Auto/Transportation,9/23/2004,Chevron 00092265 San Luis Obis Ca,28.87
Food/Drink,9/24/2004,High Street Market And San Louis Obi Ca,6.35
Auto/Transportation,9/24/2004,Shell Oil 57441083201 Atascadero Ca,10.87
Shopping,9/24/2004,Boo Boo Records San Ls Obispo Ca,15.00
,9/25/2004,The Bed Store Ii Santa Maria Ca,20.00
Other Spending,9/27/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,9/27/2004,ATM Withdrawal - 09/27 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Checks Written,9/27/2004,Check #321,100.00
Cash/ATM,9/29/2004,ATM Withdrawal - 09/29 7819T 7135 El Camino Real Atascadero Ca 3319,20.00
Food/Drink,10/1/2004,Woodstocks Pizza San L San Luis Obis Ca,3.98
Other Spending,10/1/2004,Bill Pay Service Fee On 10-01,6.95
Auto/Transportation,10/1/2004,Union 76 46044897 Atasacadero Ca,11.76
Cash/ATM,10/2/2004,ATM Withdrawal - 10/02 S1A07860 1 Grand Avenue Washingtonsnluis Obispoca 3319,40.00
Other Spending,10/4/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,10/4/2004,Subway #1035 San Luis Obis Ca,4.71
Auto/Transportation,10/5/2004,Union 76 10003606 San Luis Obis Ca,28.94
,10/6/2004,The Shack San Luis Obis Ca,7.00
,10/8/2004,Longs Drug Storlongs Drugatascadero Ca 3319,10.71
Groceries,10/8/2004,Vons Store Vons Satascadero Ca 3319,31.40
Food/Drink,10/8/2004,Hudson'S Grill Slo San Luis Obis Ca,32.16
Cash/ATM,10/8/2004,ATM Withdrawal - 10/08 0901A 665 Marsh St San Luis Obis Ca 3319,40.00
,10/9/2004,Tom'S Toys #1 San Luis Obis Ca,14.99
,10/11/2004,Poor Boy Deli San Luis Obis Ca,6.09
Other Spending,10/12/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Shopping,10/12/2004,Boo Boo Records San Ls Obispo Ca,18.22
Cash/ATM,10/12/2004,ATM Withdrawal - 10/12 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Other Spending,10/13/2004,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,10/13/2004,Monthly Service Fee,3.75
Food/Drink,11/10/2004,High Street Market And San Louis Obi Ca,6.35
Auto/Transportation,11/10/2004,Coast Marketingchevron San Luis Obisca 3319,8.81
Auto/Transportation,11/10/2004,Chevron 00092265 San Luis Obis Ca,31.07
Food/Drink,11/11/2004,Franks Hot Dogs San Luis Obis Ca,4.83
Shopping,11/11/2004,Boo Boo Records San Ls Obispo Ca,36.44
Cash/ATM,11/12/2004,ATM Withdrawal - 11/12 0901A 665 Marsh St San Luis Obis Ca 3319,20.00
Auto/Transportation,11/13/2004,Arco Paypoint Arco Payporiverside Ca 3319,22.33
,11/14/2004,Yard House Rancho Mirage Ca,42.90
Personal Care,11/15/2004,Asf*Health Club Dues 800-525-8967 Co,25.00
,11/15/2004,Texaco Inc 93002630360 San Luis Obis Ca,28.02
Food/Drink,11/16/2004,Round Table Pizza Atascadero Ca,6.00
,11/16/2004,Wp-Rpm Sports Ltd - Po Thurles Gb,78.83
,11/16/2004,Owens Music Co-Slo San Luis Obis Ca,203.42
Food/Drink,11/18/2004,Pizza Solo San Luis Obis Ca,5.90
Groceries,11/19/2004,Vons Store Vons Satascadero Ca 3319,11.23
,11/19/2004,Pepe Delgados Rest San Luis Obis Ca,31.17
Cash/ATM,11/19/2004,ATM Withdrawal - 11/19 7819U 7135 El Camino Real Atascadero Ca 3319,40.00
Auto/Transportation,11/22/2004,Texaco Service Texaco Sersan Luis Obi Ca 3319,30.63
Food/Drink,11/24/2004,High Street Market And San Louis Obi Ca,7.34
Auto/Transportation,11/24/2004,Shell Oil 57441083201 Atascadero Ca,12.27
Shopping,11/26/2004,Boo Boo Records San Ls Obispo Ca,17.15
Cash/ATM,11/26/2004,ATM Withdrawal - 11/26 81931730 6000 San Anselmin & Out Batascadero Ca 3319,41.50
Shopping,11/26/2004,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,49.31
Food/Drink,11/27/2004,Slo Brewing Co Inc San Luis Obis Ca,15.00
Other Spending,11/29/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Checks Written,11/29/2004,Check #323,200.00
Other Spending,12/2/2004,Bill Pay Service Fee On 12-03,6.95
Other Spending,12/3/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,12/3/2004,ATM Withdrawal - 12/03 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Food/Drink,12/4/2004,Senor Fish Alhambra Ca,16.58
Cash/ATM,12/4/2004,ATM Withdrawal - 12/04 S1A07019 8150 Sunset Blvwashingtonlos Angeles Ca 3319,60.00
,12/4/2004,Saddle Ranch Chop Hous W Hollywood Ca,66.50
,12/5/2004,Le Sex Shoppe #5669 Pasadena Ca,30.28
Other Spending,12/6/2004,Non-Wells Fargo ATM Transaction Fee,2.00
,12/8/2004,Owens Music Co-Slo San Luis Obis Ca,210.92
Auto/Transportation,12/9/2004,Union 76 10003606 San Luis Obis Ca,30.34
Personal Care,12/15/2004,Asf*Health Club Dues 800-525-8967 Co,25.00
Food/Drink,12/16/2004,Franks Hot Dogs San Luis Obis Ca,5.31
Shopping,12/16/2004,Limelight Music-Gifts Atascadero Ca,8.47
Cash/ATM,12/17/2004,ATM Withdrawal - 12/17 0901A 665 Marsh St San Luis Obis Ca 3319,20.00
Auto/Transportation,12/17/2004,Chevron 00092265 San Luis Obis Ca,27.34
Food/Drink,12/18/2004,Round Table Pizza Atascadero Ca,15.04
,12/18/2004,Groove Tickets 323-9080607 Ca,84.28
Food/Drink,12/19/2004,Round Table Pizza Atascadero Ca,9.00
Groceries,12/19/2004,Atascadero Foodatascaderoatascadero Ca 3319,12.18
Shopping,12/21/2004,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,42.89
,12/22/2004,Wmv*Match.Com 800-926-2824 Tx,50.85
,12/23/2004,Jim'S Campus Camera In San Luis O Ca,26.67
,12/24/2004,Apple Computer 800-676-2775 Tx,25.00
Auto/Transportation,12/24/2004,Union 76 46044897 Atasacadero Ca,27.17
Shopping,12/24/2004,Boo Boo Records San Ls Obispo Ca,30.01
Shopping,12/26/2004,Games Exchange Atascadero Ca,20.00
Shopping,12/26/2004,Games Exchange Atascadero Ca,43.23
Shopping,12/26/2004,Games Exchange Atascadero Ca,43.23
,12/29/2004,Campus Bottle Shop San Luis Obis Ca,8.83
Auto/Transportation,12/30/2004,Union 76 18040311 Sanluis Obisp Ca,20.61
Auto/Transportation,12/30/2004,Exxonmobil34 01367127 Oceansid Ca,25.45
Cash/ATM,1/1/2005,"ATM Withdrawal - 01/01 I85160 H S B C H S B C Ensenada, B.C00 3319",9.06
,1/1/2005,Rest El Rey Sol Ensenada Bcn Mx,16.98
Cash/ATM,1/1/2005,"ATM Withdrawal - 01/01 I85160 H S B C H S B C Ensenada, B.C00 3319",18.12
,1/2/2005,Ralphs 2555 Easralphs 255Newport Bea Ca 3319,11.84
Other Spending,1/3/2005,Foreign Curr Conv Fee,0.34
Other Spending,1/3/2005,Non-Wells Fargo ATM Transaction Fee,3.00
Other Spending,1/3/2005,Non-Wells Fargo ATM Transaction Fee,3.00
Other Spending,1/3/2005,Bill Pay Service Fee On 01-01,6.95
Food/Drink,1/3/2005,Rubio'S Irvine #12 Irvine Ca,12.48
Auto/Transportation,1/3/2005,Arco Paypoint Arco Paypocarpinteria Ca 3319,21.58
Checks Written,1/3/2005,Check #324,200.00
Cash/ATM,1/4/2005,ATM Withdrawal - 01/04 0901B 665 Marsh St San Luis Obis Ca 3319,20.00
Checks Written,1/4/2005,Check #325 78407Fc7A336F50D,141.93
Groceries,1/5/2005,Atascadero Foodatascaderoatascadero Ca 3319,7.50
Food/Drink,1/5/2005,Round Table Pizza Atascadero Ca,8.00
Auto/Transportation,1/5/2005,Five Star Parking Lot San Diego Ca,48.00
Food/Drink,1/6/2005,Franks Famous Hot Dogs San Luis Obis Ca,4.83
,1/6/2005,Borders Books 01005370 San Luis Obis Ca,5.74
Other Spending,1/7/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,1/7/2005,ATM Withdrawal - 01/07 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Auto/Transportation,1/7/2005,Chevron 00092265 San Luis Obis Ca,25.61
Cash/ATM,1/8/2005,ATM Withdrawal - 01/08 Lk248476 728 Higuera St.Frog & Peasan Luis Obisca 3319,22.00
,1/9/2005,Target T1120 Patarget T11Paso Robles Ca 3319,12.86
Other Spending,1/10/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,1/10/2005,Quiznos Sub 498Quiznos Susan Luis Obisca 3319,2.80
Cash/ATM,1/11/2005,ATM Withdrawal - 01/11 0901E 665 Marsh St San Luis Obis Ca 3319,20.00
,1/11/2005,Amtrak Telep0119441180 800-Usa-Rail Dc,63.00
Other Spending,1/12/2005,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,1/12/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,1/12/2005,Monthly Service Fee,5.00
Cash/ATM,1/12/2005,ATM Withdrawal - 01/12 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Food/Drink,1/13/2005,Round Table Pizza Atascadero Ca,9.64
Auto/Transportation,1/13/2005,Chevron 00092265 San Luis Obis Ca,24.98
Health,1/14/2005,Rite Aid Store 5827 Atascadero Ca,12.86
Checks Written,1/14/2005,Check #327,25.00
Food/Drink,1/14/2005,Carlton Restaurant+Gri Atascadero Ca,73.97
,1/15/2005,Hoovers 101 Cafe Atascadero Ca,18.02
,1/15/2005,Sea Barn Inc 11Sea Barn Iarroyo Grandeca 3319,25.74
Personal Care,1/17/2005,Asf*Health Club Dues 800-525-8967 Co,25.00
Auto/Transportation,1/19/2005,Chevron 00092265 San Luis Obis Ca,26.62
Other Spending,1/21/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,1/21/2005,ATM Withdrawal - 01/21 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Food/Drink,1/21/2005,Hudson'S Grill Slo San Luis Obis Ca,28.72
,1/22/2005,Los Arroyos Santa Barbara Ca,13.57
Cash/ATM,1/22/2005,ATM Withdrawal - 01/22 0901E 665 Marsh St San Luis Obis Ca 3319,40.00
,1/26/2005,Cambria Pines Lodge Re Cambria Ca,4.31
,1/26/2005,Barnesnoble 89Barnesnoblsan Luis Obisca 3319,6.42
Food/Drink,1/26/2005,Pizza Solo Pizza Solosan Luis Obisca 3319,7.51
Payments to Non-Wells Fargo Credit Cards,1/26/2005,Bill Pay At&T Universal C On-Line 5491130011008364 On 01-26,27.00
Food/Drink,1/27/2005,High Street Market And San Louis Obi Ca,7.46
Groceries,1/28/2005,Vons Store Vons Satascadero Ca 3319,26.15
Shopping,1/29/2005,Boo Boo Records San Ls Obispo Ca,38.58
,1/31/2005,Muzio'S Grocery Inc San Luis Obis Ca,7.46
Other Spending,2/1/2005,Bill Pay Service Fee On 02-01,6.95
Food/Drink,2/1/2005,Round Table Pizza Atascadero Ca,8.00
Food/Drink,2/1/2005,Mos Smokehouse Bbq San Luis Obis Ca,20.75
,2/1/2005,Texaco Inc 93002630360 San Luis Obis Ca,26.60
Checks Written,2/1/2005,Check #326,136.50
Food/Drink,2/2/2005,Slo Brewing Co Inc San Luis Obis Ca,7.50
Food/Drink,2/3/2005,Cabo San Luis San Luis Obis Ca,10.14
Food/Drink,2/4/2005,Woodstocks Pizza San L San Luis Obis Ca,13.49
Food/Drink,2/5/2005,Firestone Grill San Luis Obis Ca,9.42
Shopping,2/5/2005,Boo Boo Records San Ls Obispo Ca,17.86
Shopping,2/6/2005,Paypal *Stainless1 402-935-7733 Ca,12.91
Groceries,2/6/2005,Atascadero Foodatascaderoatascadero Ca 3319,33.26
Food/Drink,2/8/2005,Baja Fresh #205 San Luis Obis Ca,12.76
Auto/Transportation,2/8/2005,Chevron 00092265 San Luis Obis Ca,28.50
,2/9/2005,Sou Usps 058102Sou Usps 0San Luis O Ca 3319,9.00
Other Spending,2/10/2005,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,2/10/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,2/10/2005,Monthly Service Fee,5.00
Cash/ATM,2/10/2005,ATM Withdrawal - 02/10 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
,2/10/2005,Moondoggies Beach Club 805-5411995 Ca,56.83
Shopping,2/10/2005,Central Coast Surfboar Sanluisobispo Ca,84.16
,2/11/2005,Longs Drug Storlongs Drugsantabarbara Ca 3319,12.92
,2/11/2005,Albertsons Albertsonssanta Barbaraca 3319,27.69
Cash/ATM,2/11/2005,ATM Withdrawal - 02/11 A030 3451 State Stresanta Barbsta Barbara Ca 3319,42.25
Lodging,2/11/2005,Motel 6 00000026 Santa Barbara Ca,146.80
,2/12/2005,Elements Rest & Bar Santa Barbara Ca,38.48
Cash/ATM,2/12/2005,ATM Withdrawal - 02/12 0979C 3804 State Street Santa Barbara Ca 3319,40.00
Food/Drink,2/13/2005,Paradise Cafe Santa Barbara Ca,29.21
Auto/Transportation,2/13/2005,Union 76 00372623 Santa Barbara Ca,29.32
Other Spending,2/14/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Shopping,2/14/2005,Kmart Kmart Atascadero Ca 3319,45.02
,2/14/2005,Cheap Thrills Records San Luis Obis Ca,48.22
Personal Care,2/15/2005,Asf*Health Club Dues 800-525-8967 Co,25.00
Food/Drink,2/18/2005,Cabo San Luis San Luis Obis Ca,8.63
Auto/Transportation,2/18/2005,Union 76 46044897 Atasacadero Ca,29.29
Groceries,2/19/2005,Atascadero Foodatascaderoatascadero Ca 3319,6.67
Food/Drink,2/22/2005,Ben Franklin San Luis Obis Ca,5.94
,2/23/2005,Custom House Avila Beach Ca,7.24
,2/23/2005,Senor Sancho'S Paso Robles Ca,24.75
Payments to Non-Wells Fargo Credit Cards,2/23/2005,Bill Pay Bank Of America On-Line 4888603122170541 On 02-23,630.00
Food/Drink,2/24/2005,Marv'S Original Pizza Paso Robles Ca,24.15
Personal Care,2/25/2005,Asf*Health Club Dues 800-525-8967 Co,25.00
Auto/Transportation,2/25/2005,Chevron 00092265 San Luis Obis Ca,30.37
Auto/Transportation,2/27/2005,Union 76 03478948 Tustin Ca,20.22
,2/28/2005,Dos Amigos Atascadero Ca,28.66
Payments to Non-Wells Fargo Credit Cards,2/28/2005,Bill Pay At&T Universal C On-Line 5491130011008364 On 02-28,199.29
Food/Drink,3/1/2005,High Street Market And San Louis Obi Ca,8.81
Auto/Transportation,3/1/2005,Chevron 00092265 San Luis Obis Ca,31.54
Other Spending,3/2/2005,Bill Pay Service Fee On 03-02,6.95
,3/3/2005,Kona'S Deli & Cafe San Luis Obis Ca,7.25
Shopping,3/3/2005,Boo Boo Records San Ls Obispo Ca,28.94
,3/4/2005,Sandy'S Deli & Liquor San Luis Obis Ca,4.99
Shopping,3/5/2005,Limelight Music-Gifts Atascadero Ca,9.12
Food/Drink,3/7/2005,Firestone Grill San Luis Obis Ca,9.42
Food/Drink,3/8/2005,Franks Famous Hot Dogs San Luis Obis Ca,5.52
,3/8/2005,Texaco Service Texaco Sersan Luis Obi Ca 3319,27.77
Other Spending,3/10/2005,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Food/Drink,3/10/2005,Jamba Juice #1 San Luis Obis Ca,3.85
Other Spending,3/10/2005,Monthly Service Fee,5.00
Food/Drink,3/10/2005,Round Table Pizza Atascadero Ca,23.45
Other Spending,3/11/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Auto/Transportation,3/11/2005,Chevron 00092265 San Luis Obis Ca,14.83
Cash/ATM,3/11/2005,ATM Withdrawal - 03/11 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,42.00
Food/Drink,3/12/2005,Fox Sports Grill Ca Irvine Ca,9.50
,3/12/2005,Xi'An Beverly Hills Ca,26.50
,3/12/2005,Yard House Irvine Ca,60.50
Food/Drink,3/13/2005,Finn,13.00
Auto/Transportation,3/13/2005,Union 76 00398248 Gorman Ca,30.48
,3/14/2005,Grand Performance Musi San Luis Obis Ca,6.97
Personal Care,3/15/2005,Asf*Health Club Dues 800-525-8967 Co,25.00
Groceries,3/16/2005,Vons Store Vons Satascadero Ca 3319,15.89
,3/17/2005,Albertsons Albertsonssan Luis Obisca 3319,24.84
,3/17/2005,St Of Calif Dmv-Intern 916-6578943 Ca,243.00
Auto/Transportation,3/18/2005,Union 76 46044897 Atasacadero Ca,30.91
Cash/ATM,3/18/2005,ATM Withdrawal - 03/18 Td213046 723 Higuera Strthe Librarsan Luis Obisca 3319,42.00
,3/20/2005,Video Palace Atascadero Ca,3.25
Other Spending,3/21/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,3/21/2005,Subway #1035 San Luis Obis Ca,7.28
Health,3/21/2005,Rite Aid Store 5822 San Luis Obis Ca,10.00
Other Spending,3/22/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,3/22/2005,ATM Withdrawal - 03/22 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Food/Drink,3/24/2005,Mos Smokehouse Bbq San Luis Obis Ca,6.92
Auto/Transportation,3/25/2005,Union 76 46044897 Atasacadero Ca,29.59
Cash/ATM,3/26/2005,ATM Withdrawal - 03/26 7819T 7135 El Camino Real Atascadero Ca 3319,40.00
,3/28/2005,Sou Usps 058102Sou Usps 0San Luis O Ca 3319,112.90
Payments to Non-Wells Fargo Credit Cards,3/28/2005,Bill Pay Bank Of America On-Line 4888603122170541 On 03-28,"$1,000.00"
Food/Drink,3/30/2005,Slo Brewing Co Inc San Luis Obis Ca,21.45
,4/1/2005,Bellos Sporting Goods San Luis Obis Ca,28.23
Food/Drink,4/2/2005,Round Table Pizza Atascadero Ca,14.45
,4/2/2005,O'Grady'S Paso Robles Ca,20.00
Auto/Transportation,4/2/2005,Union 76 46044897 Atasacadero Ca,30.06
Other Spending,4/4/2005,Bill Pay Service Fee On 04-02,6.95
Auto/Transportation,4/9/2005,Shell Oil 57441083201 Atascadero Ca,35.11
Food/Drink,4/11/2005,Cabo San Luis San Luis Obis Ca,6.17
Other Spending,4/12/2005,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,4/12/2005,Monthly Service Fee,5.00
Other Spending,4/13/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,4/13/2005,ATM Withdrawal - 04/13 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22.00
Shopping,4/13/2005,Boo Boo Records San Ls Obispo Ca,27.86
Checks Written,4/14/2005,Check #329 * Gap In Check Sequence,11.68
Shopping,4/14/2005,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,32.16
Personal Care,4/15/2005,Asf*Health Club Dues 800-525-8967 Co,25.00
Auto/Transportation,4/15/2005,Chevron 00092265 San Luis Obis Ca,35.34
Shopping,4/16/2005,Limelight Music-Gifts Atascadero Ca,29.44
Food/Drink,4/18/2005,Franks Famous Hot Dogs San Luis Obis Ca,13.19
Food/Drink,4/19/2005,Round Table Pizza 2 King City Ca,8.50
Payments to Non-Wells Fargo Credit Cards,4/19/2005,Bill Pay Bank Of America On-Line 4888603122170541 On 04-19,780.00
Other Spending,4/21/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,4/21/2005,ATM Withdrawal - 04/21 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,42.00
,4/22/2005,Fee-Op #5675 Fee-Op #56Atascadero Ca 3319,12.51
,4/22/2005,Tahoe Joes 00208256 San Luis Obis Ca,15.75
Auto/Transportation,4/23/2005,Union 76 73752024 Atascadero Ca,33.04
Cash/ATM,4/23/2005,ATM Withdrawal - 04/23 7819T 7135 El Camino Real Atascadero Ca 3319,40.00
Auto/Transportation,4/23/2005,Atascadero Ford Atascadero Ca,173.28
Auto/Transportation,4/26/2005,Chevron 00098169 San Luis Obis Ca,33.73
Payments to Non-Wells Fargo Credit Cards,4/26/2005,Bill Pay At&T Universal C On-Line 5491130011008364 On 04-26,77.96
Checks Written,4/27/2005,Check #331,50.00
Cash/ATM,4/30/2005,ATM Withdrawal - 04/30 Lk248476 728 Higuera St.Frog & Peasan Luis Obisca 3319,22.00
Shopping,4/30/2005,Central Coast Surfboar Sanluisobispo Ca,53.61
Shopping,4/30/2005,Copelands Sports #53 San Luis Obis Ca,90.28
Cash/ATM,5/1/2005,ATM Withdrawal - 05/01 Lk248476 728 Higuera St.Frog & Peasan Luis Obisca 3319,42.00
Shopping,5/1/2005,Kmart 00076190 Atascadero Ca,42.89
Other Spending,5/2/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,5/2/2005,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,5/2/2005,Bill Pay Service Fee On 05-01,6.95
Food/Drink,5/2/2005,Firestone Grill San Luis Obis Ca,7.93
Shopping,5/2/2005,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,23.54
Auto/Transportation,5/2/2005,Chevron 00092265 San Luis Obis Ca,32.53
